distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
351.5,0.3300107817631215,734.7932376,0.013259847759495133,0.068399547,0.2989658477879444,252.0277972194902,27.037410955025543
352,0.3697467738529667,815.3016848376673,0.014596252986129278,0.062820556,0.2887822639211862,257.0434819,27.264516307873183
352.5,0.43103449046611786,946.7392121228115,0.015103710480887784,0.060349881,0.2747471366270021,263.94319243963815,27.62787607
353,0.4202586282044649,1208.1551268695368,0.015767512,0.045294819,0.253300315,260.7821855577156,29.229010141197453
353.5,0.37244073941837996,109.93316683703858,0.046779477738395726,0.14406340582856555,0.5631624855732426,282.05598420125887,14.841811386083425
354,0.2956627208041027,120.91693159873131,0.047225033,0.11095037221246208,0.5455663689490138,270.88851091324193,16.275917431204903
354.5,0.32866379898041487,632.0362276387036,0.019740866390091236,0.05376118,0.3143614663705401,253.27955601008952,26.12040576637401
355,0.33539871289394796,311.8789889875314,0.027264620369250835,0.078618691,0.397815094,262.19372375997733,21.676326583354296
355.5,0.3030711261089891,375.0080332365724,0.022951962627645026,0.070350514,0.37410752132825753,254.99821614178188,23.187678533631477
356,0.3232758678495884,843.6886028639575,0.018923377662067104,0.041171214,0.2855064358794786,249.6612499844283,27.967839753388763
356.5,0.3475215579383075,1185.4199516635858,0.013710987888192987,0.043515976,0.2549094206000719,250.6391726682128,29.80703910835336
357,0.3838900930713862,1199.888525330465,0.014136400377120283,0.045927952,0.25388068609692127,255.93151928549077,29.517814679567582
357.5,0.37782867054920644,1090.485146104427,0.015858624,0.043919164,0.2621018251996394,255.80286961727515,28.984582968769338
358,0.3535829804604873,1475.1168765013376,0.011269879765206301,0.042824458642255384,0.23699243659733074,249.92585036010598,31.096405793374412
358.5,0.37917565333191305,548.8520471030997,0.022440711321134003,0.0629108,0.32950211043072664,261.9924314661833,24.724107893859735
359,0.37042026524432003,361.7393126879212,0.025256035,0.082740387,0.378626837,265.22550046107347,22.230357622087997
359.5,0.3448275923728943,626.2310006315362,0.017985928,0.061236966,0.31532986802475893,255.84312488124482,25.88760516940105
360,0.3394396612420678,539.7142334560227,0.018659249,0.067954337,0.3313512954441924,256.5348575905045,25.025413578427678
